,Date,Adj Close,Close,High,Low,Open,Volume,CIK,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,SMA20,SMA50,SMA10,EMA10,EMA20,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Middle,Daily_Return,Log_Return,Volatility,Lag1,Lag2,Lag3
count,845,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0
mean,2024-11-18 12:43:27.337278,404.9532919618505,409.8426389073479,413.4721422545303,405.95586970402644,409.8522839066545,25284588.639053255,789019.0,2890404200000.0,184457003000.0,22.729999999999997,1.1810000000000005,55.77999999999997,3.560000000000001,0.009300000000000001,17.12,42.84000000000002,0.3929999999999999,0.463,0.14799999999999996,0.33999999999999997,318272995000.0,217409995000.0,17.12,0.234,0.183,556.75,13.0,41.0,3.0,0.0,0.0,22.729999999999997,19.720000000000002,9.08,6.840000000000003,8.840000000000002,14.150000000000004,1.1299999999999994,551.0500000000002,349.1999999999999,398.86,435.4499999999999,7428435000.0,7417366000.0,0.079,76.447,408.29970043114656,405.88389577398357,409.1204235081419,409.12079892002424,408.31880199911217,53.07976580952555,1.1402412308394263,1.149788096387692,-0.009546865548265353,428.1459194528209,388.4534814094724,408.29970043114656,0.0006071071174385053,0.00048637195002058264,0.01465180545679955,409.68576317059217,409.5257868298412,409.3682601838422
min,2023-03-15 00:00:00,258.7388610839844,265.44000244140625,266.4800109863281,259.2099914550781,259.9800109863281,5855900.0,789019.0,2890404200000.0,184457003000.0,22.73,1.181,55.78,3.56,0.0093,17.12,42.84,0.393,0.463,0.148,0.34,318272995000.0,217409995000.0,17.12,0.234,0.183,556.75,13.0,41.0,3.0,0.0,0.0,22.73,19.72,9.08,6.84,8.84,14.15,1.13,551.05,349.2,398.86,435.45,7428435000.0,7417366000.0,0.079,76.447,254.78649978637696,249.56640045166012,255.2179992675781,256.3409707984544,255.2228902345269,22.255187487153933,-18.90135912309762,-17.822405516452378,-6.198716371211198,266.2718161066625,238.0466006489161,254.78649978637696,-0.0999314917984048,-0.1052843983308289,0.0062644113289823,260.7900085449219,253.9199981689453,248.58999633789065
25%,2024-01-17 00:00:00,368.57171630859375,373.260009765625,376.2200012207031,369.5,373.5400085449219,17836000.0,789019.0,2890404200000.0,184457003000.0,22.73,1.181,55.78,3.56,0.0093,17.12,42.84,0.393,0.463,0.148,0.34,318272995000.0,217409995000.0,17.12,0.234,0.183,556.75,13.0,41.0,3.0,0.0,0.0,22.73,19.72,9.08,6.84,8.84,14.15,1.13,551.05,349.2,398.86,435.45,7428435000.0,7417366000.0,0.079,76.447,375.7659988403321,373.1146014404297,374.13299865722655,373.86957347960345,376.7753422210498,43.32450466368333,-3.5736714569841865,-3.239994155869182,-1.2689633411869965,389.8865345698685,351.9385551576945,375.7659988403321,-0.0072283250606622,-0.0072545759788606,0.0112409838310039,373.1099853515625,373.0700073242188,373.0700073242188
50%,2024-11-15 00:00:00,407.5877380371094,412.8699951171875,415.8599853515625,408.7999877929688,412.489990234375,22239500.0,789019.0,2890404200000.0,184457003000.0,22.73,1.181,55.78,3.56,0.0093,17.12,42.84,0.393,0.463,0.148,0.34,318272995000.0,217409995000.0,17.12,0.234,0.183,556.75,13.0,41.0,3.0,0.0,0.0,22.73,19.72,9.08,6.84,8.84,14.15,1.13,551.05,349.2,398.86,435.45,7428435000.0,7417366000.0,0.079,76.447,414.1984970092773,413.8457995605469,412.5069976806641,413.43511984093175,413.9702267377528,52.91512616720791,1.6384544896801572,1.603834999565314,-0.1213181871476125,432.4676986425062,393.77893880542126,414.1984970092773,0.0011003819846291,0.0010997770081359,0.0136117132308152,412.8699951171875,412.8699951171875,412.8699951171875
75%,2025-09-23 00:00:00,438.8539123535156,444.1099853515625,448.3299865722656,440.3999938964844,443.8999938964844,28505700.0,789019.0,2890404200000.0,184457003000.0,22.73,1.181,55.78,3.56,0.0093,17.12,42.84,0.393,0.463,0.148,0.34,318272995000.0,217409995000.0,17.12,0.234,0.183,556.75,13.0,41.0,3.0,0.0,0.0,22.73,19.72,9.08,6.84,8.84,14.15,1.13,551.05,349.2,398.86,435.45,7428435000.0,7417366000.0,0.079,76.447,438.13600006103513,434.0355987548828,442.0959991455078,440.27703032433953,436.7717392917366,62.66540793535634,6.242926448786932,5.8160851513354,1.2599292491835683,468.7502018854977,413.61657182517513,438.13600006103513,0.0091563478114216,0.0091146825997904,0.016658446645793,444.1099853515625,444.1099853515625,444.1099853515625
max,2026-07-28 00:00:00,538.6585083007812,542.0700073242188,555.4500122070312,540.77001953125,555.22998046875,186201600.0,789019.0,2890404200000.0,184457003000.0,22.73,1.181,55.78,3.56,0.0093,17.12,42.84,0.393,0.463,0.148,0.34,318272995000.0,217409995000.0,17.12,0.234,0.183,556.75,13.0,41.0,3.0,0.0,0.0,22.73,19.72,9.08,6.84,8.84,14.15,1.13,551.05,349.2,398.86,435.45,7428435000.0,7417366000.0,0.079,76.447,521.7434951782227,514.4449987792968,526.0410034179688,527.7824982910125,522.880562401448,81.73617646140451,18.568546860516108,16.690918021296103,7.411932650252731,544.3974847691749,508.63335250943646,521.7434951782227,0.1013368482716203,0.0965247585154506,0.0344333561886114,542.0700073242188,542.0700073242188,542.0700073242188
std,,61.29654286732414,60.217398148296375,60.46002075246502,60.06327311742283,60.43391658669028,12389038.580568658,0.0,0.0,0.0,3.554817743941299e-15,4.443522179926624e-16,2.843854195153039e-14,8.887044359853248e-16,1.7357508515338374e-18,0.0,1.4219270975765196e-14,1.110880544981656e-16,0.0,2.77720136245414e-17,5.55440272490828e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.554817743941299e-15,3.554817743941299e-15,0.0,3.554817743941299e-15,1.7774088719706495e-15,3.554817743941299e-15,4.443522179926624e-16,2.2750833561224314e-13,1.1375416780612157e-13,0.0,1.1375416780612157e-13,0.0,0.0,0.0,0.0,61.397474269333834,63.191922645024256,60.737204908465586,60.487357681144346,60.861233293424654,12.508140552200645,6.921682261174893,6.536982459293776,2.0297546371064397,62.98872040634864,61.52689196264955,61.397474269333834,0.01554357368529184,0.015540114000733952,0.005229807389695418,60.43269980651475,60.66573234506437,60.91039684797752
