Date,Close,High,Low,Open,Volume,Year,Month,Day,DayOfWeek,Quarter,Close_Scaled
2020-01-02,72.33386993408203,72.39407791515757,71.09117632272992,71.34404690340438,135480400,2020,1,2,3,1,0.08941488253953289
2020-01-03,71.63065338134766,72.38927264137095,71.40668140593664,71.56322072155912,146322800,2020,1,3,4,1,0.0859543734055751
2020-01-06,72.20142364501953,72.23995764322866,70.5035611498287,70.75402846338375,118387200,2020,1,6,0,1,0.08876311802790776
2020-01-07,71.86185455322266,72.46633779595872,71.6426965801033,72.21105649751387,108872000,2020,1,7,1,1,0.0870921079539787
2020-01-08,73.01783752441406,73.31887745373415,71.56562119935828,71.56562119935828,132079200,2020,1,8,2,1,0.09278066806388058
2020-01-09,74.56880187988281,74.76146451044018,73.74275001069596,73.99320996049889,170108400,2020,1,9,3,1,0.10041292060070311
2020-01-10,74.73736572265625,75.30091887725054,74.23643856809193,74.80239504412852,140644800,2020,1,10,4,1,0.10124241859147759
2020-01-13,76.33409881591797,76.36059415429726,74.93486566437117,75.05287832688332,121532000,2020,1,13,0,1,0.1090998978163899
2020-01-14,75.30332946777344,76.48100118582082,75.18051017572739,76.27147857331117,161954400,2020,1,14,1,1,0.10402751046943681
2020-01-15,74.98059844970703,75.98245997667709,74.54950731619692,75.10342506334987,121923600,2020,1,15,2,1,0.10243936008889232
2020-01-16,75.91988372802734,76.03067174908531,75.16126433399904,75.52251236445157,108829200,2020,1,16,3,1,0.10706155686793667
2020-01-17,76.7603759765625,76.76277929851412,75.86207008807327,76.16792404225187,137816400,2020,1,17,4,1,0.11119759589000905
2020-01-21,76.24016571044922,76.83019952815127,76.10288974668396,76.3894803308505,110843200,2020,1,21,1,1,0.10863765561206229
2020-01-22,76.51231384277344,77.06381371935198,76.41838585398544,76.72423978617735,101832400,2020,1,22,2,1,0.1099768890161048
2020-01-23,76.88078308105469,76.96025438766408,76.01860061750638,76.56529382668359,104472000,2020,1,23,3,1,0.11179011590858434
2020-01-24,76.65921020507812,77.86818383448923,76.46895092458591,77.12642473209515,146537600,2020,1,24,4,1,0.11069976193700509
2020-01-27,74.40502166748047,75.08416206919466,73.42483402812097,74.67234156024762,161940000,2020,1,27,0,1,0.09960696272218611
2020-01-28,76.5098876953125,76.68087628820244,75.18531223152581,75.28405419350632,162234000,2020,1,28,1,1,0.10996495001180201
2020-01-29,78.1114273071289,78.95674973344263,77.39856685210137,78.13792264122904,216229200,2020,1,29,2,1,0.11784608198108781
2020-01-30,77.99823760986328,78.05122092954578,76.76517927864235,77.19627050016777,126743200,2020,1,30,3,1,0.11728907862311144
2020-01-31,74.5398941040039,77.71164655303768,74.24607885109228,77.29019066933044,199588400,2020,1,31,4,1,0.10027066623811398
2020-02-03,74.33518981933594,75.4984048922783,72.78423148900761,73.28515870612867,173788400,2020,2,3,0,1,0.09926332213607414
2020-02-04,76.78926849365234,76.97952779146334,75.53212542449515,75.93672133535755,136616400,2020,2,4,1,1,0.11133977516452082
2020-02-05,77.4154281616211,78.21258127557842,76.81334832632962,77.91394467954083,118826800,2020,2,5,2,1,0.11442108950772895
2020-02-06,78.3209457397461,78.32335641079244,77.12883215929374,77.68515330009288,105425600,2020,2,6,3,1,0.11887711637153991
2020-02-07,77.25634765625,78.06987612347613,76.76629893571341,77.82123085871221,117684000,2020,2,7,4,1,0.11363825875704381
2020-02-10,77.62330627441406,77.62330627441406,75.76450341427329,75.84416334192943,109348800,2020,2,10,0,1,0.11544405192986312
2020-02-11,77.15497589111328,78.19059906005786,76.9377141953968,78.11818095050265,94323200,2020,2,11,1,1,0.11313941111499526
2020-02-12,78.98722839355469,78.9920538114317,77.60398368209574,77.60398368209574,113730400,2020,2,12,2,1,0.12215587481420864
2020-02-13,78.42474365234375,78.75063980830953,78.05781303227035,78.2605910618148,94747600,2020,2,13,3,1,0.1193879030178912
2020-02-14,78.4440689086914,78.69271421468866,77.93712009409066,78.3933688702963,80113600,2020,2,14,4,1,0.11948300206788814
2020-02-18,77.0076904296875,77.18874299339366,75.94792588727789,76.12897845098405,152531200,2020,2,18,1,1,0.11241462344812186
2020-02-19,78.12300872802734,78.35234502696264,77.24912913343354,77.24912913343354,93984000,2020,2,19,2,1,0.11790307383181631
2020-02-20,77.3215560913086,78.37166303401608,76.81702354297988,77.88403050271104,100566000,2020,2,20,3,1,0.1139591476557108
2020-02-21,75.57134246826172,77.35773378298828,74.95576665511149,76.91596137087494,129554000,2020,2,21,4,1,0.10534639500451037
2020-02-24,71.981689453125,73.43011036441114,69.82113268068633,71.75960237227564,222195200,2020,2,24,0,1,0.08768181216965237
2020-02-25,69.54351806640625,73.03180163978591,69.07278565467855,72.65038734565039,230673600,2020,2,25,1,1,0.07568363846187032
2020-02-26,70.64673614501953,71.90927916190874,69.16210602316792,69.16934783382864,198054800,2020,2,26,2,1,0.08111254400020546
2020-02-27,66.02867889404297,69.04139705399142,65.8934935311334,67.85852144500781,320605600,2020,2,27,3,1,0.05838721247038764
2020-02-28,65.99005889892578,67.20915102510166,61.88861568726967,62.10346834390764,426510000,2020,2,28,4,1,0.05819716454654855
2020-03-02,72.1337661743164,72.76865844299596,67.04256816593558,68.14336733709636,341397200,2020,3,2,0,1,0.0884301774928219
2020-03-03,69.84288787841797,73.38669078369585,68.99314253337712,73.30703084112471,319475600,2020,3,3,1,1,0.07715682899595189
2020-03-04,73.08248901367188,73.24181619852034,70.76260504877715,71.56164999828624,219178400,2020,3,4,2,1,0.09309881624772343
2020-03-05,70.71192932128906,72.31242862903635,70.3474076125405,71.33957264179317,187572800,2020,3,5,3,1,0.08143335781079514
2020-03-06,69.77288055419922,70.20499505069894,67.88993546579478,68.07581358123565,226176800,2020,3,6,4,1,0.07681232489695006
2020-03-09,64.25437927246094,67.1319051551366,63.48912685930832,63.670179502443226,286744800,2020,3,9,0,1,0.04965593328904894
2020-03-10,68.882080078125,69.14762542571471,65.0268655374001,66.90257561810807,285290000,2020,3,10,1,1,0.07242872048376847
2020-03-11,66.48976135253906,67.88748961967876,65.627949126833,66.96291749628936,255598800,2020,3,11,2,1,0.06065618644850179
2020-03-12,59.923587799072266,65.17894285229022,59.86806602728879,61.78481034349421,418474000,2020,3,12,3,1,0.028344228675934058
2020-03-13,67.1029281616211,67.57366791219874,61.06301183278901,63.94537376560975,370732000,2020,3,13,4,1,0.06367356329382412
2020-03-16,58.47034454345703,62.5428168089279,57.93684117686896,58.40757727472599,322423600,2020,3,16,0,1,0.021192858958647753
2020-03-17,61.041282653808594,62.1879454731144,57.550586794967394,59.74977259300015,324056000,2020,3,17,1,1,0.03384437402767981
2020-03-18,59.547000885009766,60.35087498179023,57.24159672400037,57.8813182089224,300233600,2020,3,18,2,1,0.02649105492629039
2020-03-19,59.09074401855469,61.03645549375763,58.56689890473273,59.72080725380135,271857200,2020,3,19,3,1,0.024245827552646426
2020-03-20,55.33933639526367,60.7926402539027,55.03999474688709,59.67011183513416,401693200,2020,3,20,4,1,0.00578525478154307
