ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-03-15,317.1134423860016,272.3967260558781,297.604465069923,317.1134423860016,317.1134423860016,-31.29558585437076,-31.29558585437076,-31.29558585437076,10.654020379549918,10.654020379549918,10.654020379549918,-41.94960623392068,-41.94960623392068,-41.94960623392068,0.0,0.0,0.0,285.81785653163087
2023-03-16,316.94269310758995,272.7554076742008,298.18184595242633,316.94269310758995,316.94269310758995,-31.615842148049563,-31.615842148049563,-31.615842148049563,10.51362618729353,10.51362618729353,10.51362618729353,-42.12946833534309,-42.12946833534309,-42.12946833534309,0.0,0.0,0.0,285.32685095954037
2023-03-17,316.7719438291782,273.7137512202542,299.2922043056719,316.7719438291782,316.7719438291782,-31.12691455305455,-31.12691455305455,-31.12691455305455,11.096092542677061,11.096092542677061,11.096092542677061,-42.22300709573161,-42.22300709573161,-42.22300709573161,0.0,0.0,0.0,285.64502927612364
2023-03-20,316.2596959939432,272.49589850899434,296.92818144772957,316.2596959939432,316.2596959939432,-31.425158769035516,-31.425158769035516,-31.425158769035516,10.605585704795866,10.605585704795866,10.605585704795866,-42.03074447383138,-42.03074447383138,-42.03074447383138,0.0,0.0,0.0,284.83453722490765
2023-03-21,316.08894671553156,272.234581428863,297.03511020467954,316.08894671553156,316.08894671553156,-31.277081919825285,-31.277081919825285,-31.277081919825285,10.55600872270455,10.55600872270455,10.55600872270455,-41.83309064252984,-41.83309064252984,-41.83309064252984,0.0,0.0,0.0,284.8118647957063
2023-03-22,315.9181974371199,271.65132496458995,297.787796741647,315.9181974371199,315.9181974371199,-30.93061968268895,-30.93061968268895,-30.93061968268895,10.654020379550161,10.654020379550161,10.654020379550161,-41.58464006223911,-41.58464006223911,-41.58464006223911,0.0,0.0,0.0,284.98757775443096
2023-03-23,315.74744815870815,273.1035319412875,297.0081076809107,315.74744815870815,315.74744815870815,-30.783252458064,-30.783252458064,-30.783252458064,10.513626187289638,10.513626187289638,10.513626187289638,-41.29687864535364,-41.29687864535364,-41.29687864535364,0.0,0.0,0.0,284.96419570064415
2023-03-24,315.5766988802965,273.84353131220814,298.1404208120225,315.5766988802965,315.5766988802965,-29.88606175091902,-29.88606175091902,-29.88606175091902,11.096092542678154,11.096092542678154,11.096092542678154,-40.98215429359717,-40.98215429359717,-40.98215429359717,0.0,0.0,0.0,285.6906371293775
2023-03-27,315.06445104506145,273.1437182050542,298.1522000913467,315.06445104506145,315.06445104506145,-29.39991699430026,-29.39991699430026,-29.39991699430026,10.605585704683437,10.605585704683437,10.605585704683437,-40.0055026989837,-40.0055026989837,-40.0055026989837,0.0,0.0,0.0,285.6645340507612
2023-03-28,314.8937017666498,273.64475348605794,297.74882833254253,314.8937017666498,314.8937017666498,-29.155627071093488,-29.155627071093488,-29.155627071093488,10.556008722693583,10.556008722693583,10.556008722693583,-39.71163579378707,-39.71163579378707,-39.71163579378707,0.0,0.0,0.0,285.73807469555635
