ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-03-15,36.68391330001862,23.078875155457094,37.950844168927794,36.68391330001862,36.68391330001862,-6.273266035785477,-6.273266035785477,-6.273266035785477,2.5894766608956337,2.5894766608956337,2.5894766608956337,-8.86274269668111,-8.86274269668111,-8.86274269668111,0.0,0.0,0.0,30.41064726423314
2023-03-16,36.65282391714584,22.80077901671589,38.022717744000296,36.65282391714584,36.65282391714584,-6.229746557078773,-6.229746557078773,-6.229746557078773,2.7152880418371717,2.7152880418371717,2.7152880418371717,-8.945034598915944,-8.945034598915944,-8.945034598915944,0.0,0.0,0.0,30.423077360067065
2023-03-17,36.62173453427307,22.724733629881385,37.61707541811228,36.62173453427307,36.62173453427307,-6.367846054521544,-6.367846054521544,-6.367846054521544,2.6237750078127684,2.6237750078127684,2.6237750078127684,-8.991621062334312,-8.991621062334312,-8.991621062334312,0.0,0.0,0.0,30.253888479751524
2023-03-20,36.528466385654745,22.187621800882788,37.51433429632118,36.528466385654745,36.528466385654745,-6.561025231564155,-6.561025231564155,-6.561025231564155,2.4210172153130327,2.4210172153130327,2.4210172153130327,-8.98204244687719,-8.98204244687719,-8.98204244687719,0.0,0.0,0.0,29.96744115409059
2023-03-21,36.49737700278197,22.896726032439553,37.083429561487876,36.49737700278197,36.49737700278197,-6.568291259519106,-6.568291259519106,-6.568291259519106,2.386069806047635,2.386069806047635,2.386069806047635,-8.95436106556674,-8.95436106556674,-8.95436106556674,0.0,0.0,0.0,29.92908574326286
2023-03-22,36.466287619909195,22.110791957563407,37.480414322491264,36.466287619909195,36.466287619909195,-6.338629141371045,-6.338629141371045,-6.338629141371045,2.589476660894858,2.589476660894858,2.589476660894858,-8.928105802265902,-8.928105802265902,-8.928105802265902,0.0,0.0,0.0,30.12765847853815
2023-03-23,36.43519823703642,22.191161167242985,38.16557830448971,36.43519823703642,36.43519823703642,-6.196292641588861,-6.196292641588861,-6.196292641588861,2.7152880418361423,2.7152880418361423,2.7152880418361423,-8.911580683425003,-8.911580683425003,-8.911580683425003,0.0,0.0,0.0,30.238905595447555
2023-03-24,36.40410885416364,22.724547561110402,37.618991190805765,36.40410885416364,36.40410885416364,-6.289036938479366,-6.289036938479366,-6.289036938479366,2.6237750078128688,2.6237750078128688,2.6237750078128688,-8.912811946292234,-8.912811946292234,-8.912811946292234,0.0,0.0,0.0,30.115071915684272
2023-03-27,36.31084070554531,22.327252561945482,37.10048556300756,36.31084070554531,36.31084070554531,-6.673252986324112,-6.673252986324112,-6.673252986324112,2.42101721528696,2.42101721528696,2.42101721528696,-9.09427020161107,-9.09427020161107,-9.09427020161107,0.0,0.0,0.0,29.637587719221198
2023-03-28,36.27975132267254,22.113304878407604,37.007327504782204,36.27975132267254,36.27975132267254,-6.847227642487964,-6.847227642487964,-6.847227642487964,2.3860698060451653,2.3860698060451653,2.3860698060451653,-9.233297448533131,-9.233297448533131,-9.233297448533131,0.0,0.0,0.0,29.432523680184573
2023-03-29,36.24866193979977,21.70585133528346,36.81011781969228,36.24866193979977,36.24866193979977,-6.828935754093502,-6.828935754093502,-6.828935754093502,2.5894766608950057,2.5894766608950057,2.5894766608950057,-9.418412414988508,-9.418412414988508,-9.418412414988508,0.0,0.0,0.0,29.419726185706267
2023-03-30,36.21757255692699,21.44265600645649,37.0847993898897,36.21757255692699,36.21757255692699,-6.936453776138462,-6.936453776138462,-6.936453776138462,2.7152880418327756,2.7152880418327756,2.7152880418327756,-9.651741817971237,-9.651741817971237,-9.651741817971237,0.0,0.0,0.0,29.281118780788525
2023-03-31,36.18648317405422,21.446664209106263,36.59170878792183,36.18648317405422,36.18648317405422,-7.31021863259576,-7.31021863259576,-7.31021863259576,2.6237750078000963,2.6237750078000963,2.6237750078000963,-9.933993640395855,-9.933993640395855,-9.933993640395855,0.0,0.0,0.0,28.876264541458458
2023-04-03,36.09321502543589,19.93291332188771,34.92285137064288,36.09321502543589,36.09321502543589,-8.638813262232002,-8.638813262232002,-8.638813262232002,2.4210172152931086,2.4210172152931086,2.4210172152931086,-11.05983047752511,-11.05983047752511,-11.05983047752511,0.0,0.0,0.0,27.454401763203887
2023-04-04,36.06212564256311,19.63450373047657,34.11905176120912,36.06212564256311,36.06212564256311,-9.13036050093958,-9.13036050093958,-9.13036050093958,2.3860698060463097,2.3860698060463097,2.3860698060463097,-11.516430306985889,-11.516430306985889,-11.516430306985889,0.0,0.0,0.0,26.93176514162353
2023-04-05,36.03103625969034,19.341495166281877,34.00826729591714,36.03103625969034,36.03103625969034,-9.415237980014371,-9.415237980014371,-9.415237980014371,2.589476660895188,2.589476660895188,2.589476660895188,-12.004714640909558,-12.004714640909558,-12.004714640909558,0.0,0.0,0.0,26.615798279675968
