,Date,Adj Close,Close,High,Low,Open,Volume,CIK,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,SMA20,SMA50,SMA10,EMA10,EMA20,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Middle,Daily_Return,Log_Return,Volatility,Lag1,Lag2,Lag3
count,845,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0
mean,2024-11-18 12:43:27.337278,197.03895691640278,197.89494683079465,200.0746980746117,195.4606625709308,197.679443982367,31738592.781065088,1652044.0,3993807618000.0,173164003000.0,16.389999999999993,1.2590000000000001,50.899999999999984,0.8499999999999998,0.0027000000000000006,19.92000000000001,36.84000000000002,0.548,0.33999999999999997,0.12999999999999995,0.487,445865984000.0,271517008000.0,19.92000000000001,2.9400000000000004,0.24200000000000002,428.11999999999995,14.0,44.0,7.0,0.0,0.0,16.389999999999993,22.680000000000003,8.960000000000004,6.28,8.510000000000002,11.610000000000001,1.247,408.36999999999995,187.29,363.17999999999995,324.30999999999995,5867156000.0,10926894000.0,1.17,81.105,195.0725137198183,190.39910543335682,196.6181551437829,196.58993675785246,195.05776814299688,56.09659548779991,2.165101244810808,2.1893724686128233,-0.02427122380201517,207.76692309935478,182.3781043402818,195.0725137198183,0.0016793049780717353,0.0014997594453886696,0.018101420982256124,197.61123086602024,197.33259181637735,197.06145573000936
min,2023-03-15 00:00:00,95.26525115966795,96.11000061035156,96.93000030517578,92.63999938964844,93.22000122070312,10097400.0,1652044.0,3993807618000.0,173164003000.0,16.39,1.259,50.9,0.85,0.0027,19.92,36.84,0.548,0.34,0.13,0.487,445865984000.0,271517008000.0,19.92,2.94,0.242,428.12,14.0,44.0,7.0,0.0,0.0,16.39,22.68,8.96,6.28,8.51,11.61,1.247,408.37,187.29,363.18,324.31,5867156000.0,10926894000.0,1.17,81.105,92.67900009155274,94.32239990234376,93.3029998779297,93.25872393769528,93.45303720209006,24.761345238917144,-8.83287593392754,-6.157229875132967,-6.185300698385246,97.11153947840867,84.98463335594633,92.67900009155274,-0.0950939930869912,-0.099924200440641,0.0090385274440532,93.97000122070312,91.11000061035156,90.62999725341795
25%,2024-01-17 00:00:00,138.49197387695312,139.72000122070312,141.11000061035156,138.14999389648438,139.3800048828125,23251000.0,1652044.0,3993807618000.0,173164003000.0,16.39,1.259,50.9,0.85,0.0027,19.92,36.84,0.548,0.34,0.13,0.487,445865984000.0,271517008000.0,19.92,2.94,0.242,428.12,14.0,44.0,7.0,0.0,0.0,16.39,22.68,8.96,6.28,8.51,11.61,1.247,408.37,187.29,363.18,324.31,5867156000.0,10926894000.0,1.17,81.105,138.6275016784668,135.97100006103517,139.08099822998048,138.56352907715544,138.437036516339,47.65535686263974,-0.2631876162504909,-0.1334032307017439,-0.6711597104113434,146.22169235536126,130.07363718254962,138.6275016784668,-0.0088155376596154,-0.0088546243950068,0.0141473292759069,139.69000244140625,139.10000610351562,138.97000122070312
50%,2024-11-15 00:00:00,168.4661865234375,169.67999267578125,171.25,167.94000244140625,169.38999938964844,28342900.0,1652044.0,3993807618000.0,173164003000.0,16.39,1.259,50.9,0.85,0.0027,19.92,36.84,0.548,0.34,0.13,0.487,445865984000.0,271517008000.0,19.92,2.94,0.242,428.12,14.0,44.0,7.0,0.0,0.0,16.39,22.68,8.96,6.28,8.51,11.61,1.247,408.37,187.29,363.18,324.31,5867156000.0,10926894000.0,1.17,81.105,170.06550064086915,168.12339935302734,169.96699981689454,170.19506106798804,170.02941490464772,57.28646839229311,2.024942330551852,1.9870612888736487,0.0152325820513547,178.92035268769115,159.26791084528404,170.06550064086915,0.0021059681062942,0.0021037536639468,0.0173116111595305,169.52999877929688,169.3800048828125,169.24000549316406
75%,2025-09-23 00:00:00,244.42176818847656,244.8999938964844,246.3000030517578,240.7400054931641,244.47000122070312,35538200.0,1652044.0,3993807618000.0,173164003000.0,16.39,1.259,50.9,0.85,0.0027,19.92,36.84,0.548,0.34,0.13,0.487,445865984000.0,271517008000.0,19.92,2.94,0.242,428.12,14.0,44.0,7.0,0.0,0.0,16.39,22.68,8.96,6.28,8.51,11.61,1.247,408.37,187.29,363.18,324.31,5867156000.0,10926894000.0,1.17,81.105,235.2865005493164,211.55700012207032,244.4449981689453,244.03697357764497,237.1904897611442,64.08625229942511,4.268272504167015,4.268779598449362,0.6902862802988441,255.32560070565071,202.8361296350221,235.2865005493164,0.0115355967764918,0.0114695690741499,0.0216322717649228,244.6199951171875,244.1499938964844,244.0500030517578
max,2026-07-28 00:00:00,402.3796691894531,402.6199951171875,408.6099853515625,396.3599853515625,399.9200134277344,127490100.0,1652044.0,3993807618000.0,173164003000.0,16.39,1.259,50.9,0.85,0.0027,19.92,36.84,0.548,0.34,0.13,0.487,445865984000.0,271517008000.0,19.92,2.94,0.242,428.12,14.0,44.0,7.0,0.0,0.0,16.39,22.68,8.96,6.28,8.51,11.61,1.247,408.37,187.29,363.18,324.31,5867156000.0,10926894000.0,1.17,81.105,391.3720001220704,372.7972003173828,395.8660003662109,391.8281622877822,382.7532466699912,88.20231161288855,22.18145997826008,19.73708730085599,5.34509220452917,425.0923324250236,379.1234809767172,391.3720001220704,0.1022435701810395,0.0973477118808006,0.0333852246389366,402.6199951171875,402.6199951171875,402.6199951171875
std,,78.18752496485868,77.86455883850343,78.82338878354017,76.64358193199672,77.7492153826027,13567435.152354637,0.0,0.0,0.0,7.109635487882598e-15,2.221761089963312e-16,1.4219270975765196e-14,2.221761089963312e-16,4.339377128834594e-19,7.109635487882598e-15,1.4219270975765196e-14,0.0,5.55440272490828e-17,5.55440272490828e-17,0.0,0.0,0.0,7.109635487882598e-15,4.443522179926624e-16,2.77720136245414e-17,5.687708390306078e-14,0.0,0.0,0.0,0.0,0.0,7.109635487882598e-15,3.554817743941299e-15,3.554817743941299e-15,0.0,1.7774088719706495e-15,1.7774088719706495e-15,0.0,5.687708390306078e-14,0.0,5.687708390306078e-14,5.687708390306078e-14,0.0,0.0,0.0,0.0,76.67425930936304,73.78480215992255,77.418373927779,77.26088681276167,76.36903134495657,12.202124945874985,4.838399743161734,4.531587161016924,1.443842347042342,83.20432173230664,70.67251630499318,76.67425930936304,0.018931296510737734,0.018883070395173798,0.005056280974016806,77.80585121136531,77.76509872649812,77.73720984071247
