Ticker,Current Price,Predicted Price,Average Sentiment,Trading Score,Recommendation,Confidence (%),Generated On
AAPL,340.08,302.69,0.132,-2,SELL,40,2026-07-29 20:34:35.131345
MSFT,393.35,520.93,0.114,2,HOLD,40,2026-07-29 20:34:35.678137
GOOGL,333.71,333.44,0.143,-4,SELL,80,2026-07-29 20:34:36.043325
AMZN,230.86,246.3,0.152,0,HOLD,0,2026-07-29 20:34:36.255701
NVDA,197.01,203.17,0.122,0,HOLD,0,2026-07-29 20:34:36.461338
