Date,Predicted_Close
2026-07-28,296.92953
2026-07-29,297.00037
2026-07-30,296.60736
2026-07-31,295.9341
2026-08-03,295.12585
2026-08-04,294.28998
2026-08-05,293.50494
2026-08-06,292.77487
2026-08-07,292.11722
2026-08-10,291.53775
2026-08-11,291.03494
2026-08-12,290.60333
2026-08-13,290.23526
2026-08-14,289.92273
2026-08-17,289.6579
2026-08-18,289.44144
2026-08-19,289.2602
2026-08-20,289.1074
2026-08-21,288.97827
2026-08-24,288.86887
2026-08-25,288.77588
2026-08-26,288.69656
2026-08-27,288.62863
2026-08-28,288.57028
2026-08-31,288.52002
2026-09-01,288.47653
2026-09-02,288.43884
2026-09-03,288.4061
2026-09-04,288.37753
2026-09-07,288.35266
