Date,Adj Close,Close,High,Low,Open,Volume,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate,SMA10,SMA20,SMA50,EMA10,EMA20,RSI,MACD,MACD_Signal,MACD_Hist,BB_Middle,BB_Upper,BB_Lower,Daily_Return,Log_Return,Volatility,Lag1,Lag2,Lag3
2023-03-15,258.7388610839844,265.44000244140625,266.4800109863281,259.2099914550781,259.9800109863281,46028000,MSFT,Common Stock,Microsoft Corporation,"Microsoft Corporation is an American multinational technology company which produces computer software, consumer electronics, personal computers, and related services. Its best known software products are the Microsoft Windows line of operating systems, the Microsoft Office suite, and the Internet Explorer and Edge web browsers. Its flagship hardware products are the Xbox video game consoles and the Microsoft Surface lineup of touchscreen personal computers. Microsoft ranked No. 21 in the 2020 Fortune 500 rankings of the largest United States corporations by total revenue; it was the world's largest software maker by revenue as of 2016. It is considered one of the Big Five companies in the U.S. information technology industry, along with Google, Apple, Amazon, and Facebook.",789019,NASDAQ,USD,USA,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,"ONE MICROSOFT WAY, REDMOND, WA, UNITED STATES, 98052-6399",https://www.microsoft.com,June,2026-03-31,2890404200000,184457003000,22.73,1.181,55.78,3.56,0.0093,17.12,42.84,0.393,0.463,0.148,0.34,318272995000,217409995000,17.12,0.234,0.183,556.75,13,41,3,0,0,22.73,19.72,9.08,6.84,8.84,14.15,1.13,551.05,349.2,398.86,435.45,7428435000,7417366000,0.079,76.447,2026-09-10,2026-08-20,255.21799926757814,254.78649978637696,249.56640045166014,256.3409707984544,255.2228902345269,61.57015617838658,1.44660239598241,0.8471042200852679,0.599498175897142,254.78649978637696,266.5701856978403,243.00281387491364,0.01783041429550547,0.01767331711510715,0.01604826958969825,260.7900085449219,253.9199981689453,248.58999633789065
2023-03-16,269.2272644042969,276.20001220703125,276.5599975585937,263.2799987792969,265.2099914550781,54768800,MSFT,Common Stock,Microsoft Corporation,"Microsoft Corporation is an American multinational technology company which produces computer software, consumer electronics, personal computers, and related services. Its best known software products are the Microsoft Windows line of operating systems, the Microsoft Office suite, and the Internet Explorer and Edge web browsers. Its flagship hardware products are the Xbox video game consoles and the Microsoft Surface lineup of touchscreen personal computers. Microsoft ranked No. 21 in the 2020 Fortune 500 rankings of the largest United States corporations by total revenue; it was the world's largest software maker by revenue as of 2016. It is considered one of the Big Five companies in the U.S. information technology industry, along with Google, Apple, Amazon, and Facebook.",789019,NASDAQ,USD,USA,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,"ONE MICROSOFT WAY, REDMOND, WA, UNITED STATES, 98052-6399",https://www.microsoft.com,June,2026-03-31,2890404200000,184457003000,22.73,1.181,55.78,3.56,0.0093,17.12,42.84,0.393,0.463,0.148,0.34,318272995000,217409995000,17.12,0.234,0.183,556.75,13,41,3,0,0,22.73,19.72,9.08,6.84,8.84,14.15,1.13,551.05,349.2,398.86,435.45,7428435000,7417366000,0.079,76.447,2026-09-10,2026-08-20,257.7270004272461,255.13050003051757,250.29880065917968,259.95170560001384,257.2207113747654,76.28605527653136,2.950635676847071,1.2678105114376286,1.6828251654094424,255.13050003051757,268.9299005084386,241.3310995525965,0.040536504169149,0.03973644953182184,0.01837049344482311,265.44000244140625,260.7900085449219,253.9199981689453
2023-03-17,272.3757019042969,279.42999267578125,283.3299865722656,276.32000732421875,278.260009765625,69527400,MSFT,Common Stock,Microsoft Corporation,"Microsoft Corporation is an American multinational technology company which produces computer software, consumer electronics, personal computers, and related services. Its best known software products are the Microsoft Windows line of operating systems, the Microsoft Office suite, and the Internet Explorer and Edge web browsers. Its flagship hardware products are the Xbox video game consoles and the Microsoft Surface lineup of touchscreen personal computers. Microsoft ranked No. 21 in the 2020 Fortune 500 rankings of the largest United States corporations by total revenue; it was the world's largest software maker by revenue as of 2016. It is considered one of the Big Five companies in the U.S. information technology industry, along with Google, Apple, Amazon, and Facebook.",789019,NASDAQ,USD,USA,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,"ONE MICROSOFT WAY, REDMOND, WA, UNITED STATES, 98052-6399",https://www.microsoft.com,June,2026-03-31,2890404200000,184457003000,22.73,1.181,55.78,3.56,0.0093,17.12,42.84,0.393,0.463,0.148,0.34,318272995000,217409995000,17.12,0.234,0.183,556.75,13,41,3,0,0,22.73,19.72,9.08,6.84,8.84,14.15,1.13,551.05,349.2,398.86,435.45,7428435000,7417366000,0.079,76.447,2026-09-10,2026-08-20,260.14100036621096,255.99449996948243,251.305400390625,263.4932123410625,259.3358810224812,77.2990085911475,4.353046111762694,1.884857631502642,2.468188480260052,255.99449996948243,273.3500604929936,238.6389394459713,0.011694353099191312,0.011626502617996566,0.01725607982757959,276.20001220703125,265.44000244140625,260.7900085449219
2023-03-20,265.3574523925781,272.2300109863281,277.4800109863281,269.8500061035156,276.9800109863281,43466600,MSFT,Common Stock,Microsoft Corporation,"Microsoft Corporation is an American multinational technology company which produces computer software, consumer electronics, personal computers, and related services. Its best known software products are the Microsoft Windows line of operating systems, the Microsoft Office suite, and the Internet Explorer and Edge web browsers. Its flagship hardware products are the Xbox video game consoles and the Microsoft Surface lineup of touchscreen personal computers. Microsoft ranked No. 21 in the 2020 Fortune 500 rankings of the largest United States corporations by total revenue; it was the world's largest software maker by revenue as of 2016. It is considered one of the Big Five companies in the U.S. information technology industry, along with Google, Apple, Amazon, and Facebook.",789019,NASDAQ,USD,USA,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,"ONE MICROSOFT WAY, REDMOND, WA, UNITED STATES, 98052-6399",https://www.microsoft.com,June,2026-03-31,2890404200000,184457003000,22.73,1.181,55.78,3.56,0.0093,17.12,42.84,0.393,0.463,0.148,0.34,318272995000,217409995000,17.12,0.234,0.183,556.75,13,41,3,0,0,22.73,19.72,9.08,6.84,8.84,14.15,1.13,551.05,349.2,398.86,435.45,7428435000,7417366000,0.079,76.447,2026-09-10,2026-08-20,261.677001953125,256.70300064086916,252.3038006591797,265.0817211856562,260.56389339999043,68.98620560894851,4.827835849227256,2.473453275047565,2.354382574179691,256.70300064086916,275.5098281178947,237.89617316384363,-0.025766674581018112,-0.02610445020977979,0.01797785499261704,279.42999267578125,276.20001220703125,265.44000244140625
2023-03-21,266.8683776855469,273.7799987792969,275.0,269.5199890136719,274.8800048828125,34558700,MSFT,Common Stock,Microsoft Corporation,"Microsoft Corporation is an American multinational technology company which produces computer software, consumer electronics, personal computers, and related services. Its best known software products are the Microsoft Windows line of operating systems, the Microsoft Office suite, and the Internet Explorer and Edge web browsers. Its flagship hardware products are the Xbox video game consoles and the Microsoft Surface lineup of touchscreen personal computers. Microsoft ranked No. 21 in the 2020 Fortune 500 rankings of the largest United States corporations by total revenue; it was the world's largest software maker by revenue as of 2016. It is considered one of the Big Five companies in the U.S. information technology industry, along with Google, Apple, Amazon, and Facebook.",789019,NASDAQ,USD,USA,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,"ONE MICROSOFT WAY, REDMOND, WA, UNITED STATES, 98052-6399",https://www.microsoft.com,June,2026-03-31,2890404200000,184457003000,22.73,1.181,55.78,3.56,0.0093,17.12,42.84,0.393,0.463,0.148,0.34,318272995000,217409995000,17.12,0.234,0.183,556.75,13,41,3,0,0,22.73,19.72,9.08,6.84,8.84,14.15,1.13,551.05,349.2,398.86,435.45,7428435000,7417366000,0.079,76.447,2026-09-10,2026-08-20,263.64000244140624,257.75850067138674,253.28080078125,266.66322620268176,261.8225701027815,73.52489778534705,5.268449788284158,3.0324525776948836,2.2359972105892747,257.75850067138674,277.93215080692755,237.5848505358459,0.005693669802799839,0.005677522128909795,0.017093100405948827,272.2300109863281,279.42999267578125,276.20001220703125
2023-03-22,265.4159240722656,272.2900085449219,281.0400085449219,272.17999267578125,273.3999938964844,34873300,MSFT,Common Stock,Microsoft Corporation,"Microsoft Corporation is an American multinational technology company which produces computer software, consumer electronics, personal computers, and related services. Its best known software products are the Microsoft Windows line of operating systems, the Microsoft Office suite, and the Internet Explorer and Edge web browsers. Its flagship hardware products are the Xbox video game consoles and the Microsoft Surface lineup of touchscreen personal computers. Microsoft ranked No. 21 in the 2020 Fortune 500 rankings of the largest United States corporations by total revenue; it was the world's largest software maker by revenue as of 2016. It is considered one of the Big Five companies in the U.S. information technology industry, along with Google, Apple, Amazon, and Facebook.",789019,NASDAQ,USD,USA,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,"ONE MICROSOFT WAY, REDMOND, WA, UNITED STATES, 98052-6399",https://www.microsoft.com,June,2026-03-31,2890404200000,184457003000,22.73,1.181,55.78,3.56,0.0093,17.12,42.84,0.393,0.463,0.148,0.34,318272995000,217409995000,17.12,0.234,0.183,556.75,13,41,3,0,0,22.73,19.72,9.08,6.84,8.84,14.15,1.13,551.05,349.2,398.86,435.45,7428435000,7417366000,0.079,76.447,2026-09-10,2026-08-20,265.4990036010742,258.797501373291,254.1842010498047,267.6862775376345,262.819469002033,69.2126518509742,5.434761205734333,3.512914303302774,1.9218469024315588,258.797501373291,279.7418748251265,237.85312792145555,-0.005442290309805031,-0.005457153522854962,0.017117077296007387,273.7799987792969,272.2300109863281,279.42999267578125
2023-03-23,270.6503601074219,277.6600036621094,281.0599975585937,275.20001220703125,277.94000244140625,36610900,MSFT,Common Stock,Microsoft Corporation,"Microsoft Corporation is an American multinational technology company which produces computer software, consumer electronics, personal computers, and related services. Its best known software products are the Microsoft Windows line of operating systems, the Microsoft Office suite, and the Internet Explorer and Edge web browsers. Its flagship hardware products are the Xbox video game consoles and the Microsoft Surface lineup of touchscreen personal computers. Microsoft ranked No. 21 in the 2020 Fortune 500 rankings of the largest United States corporations by total revenue; it was the world's largest software maker by revenue as of 2016. It is considered one of the Big Five companies in the U.S. information technology industry, along with Google, Apple, Amazon, and Facebook.",789019,NASDAQ,USD,USA,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,"ONE MICROSOFT WAY, REDMOND, WA, UNITED STATES, 98052-6399",https://www.microsoft.com,June,2026-03-31,2890404200000,184457003000,22.73,1.181,55.78,3.56,0.0093,17.12,42.84,0.393,0.463,0.148,0.34,318272995000,217409995000,17.12,0.234,0.183,556.75,13,41,3,0,0,22.73,19.72,9.08,6.84,8.84,14.15,1.13,551.05,349.2,398.86,435.45,7428435000,7417366000,0.079,76.447,2026-09-10,2026-08-20,268.03300323486326,259.94200134277344,255.16040100097655,269.49968228753903,264.2328532553736,69.8632831923658,5.931503252050902,3.9966320930524,1.9348711589985021,259.94200134277344,282.40620846490134,237.47779422064554,0.019721601779969733,0.01952965061003187,0.017365878929751576,272.2900085449219,273.7799987792969,272.2300109863281
2023-03-24,273.4869689941406,280.57000732421875,280.6300048828125,275.2799987792969,277.239990234375,28172000,MSFT,Common Stock,Microsoft Corporation,"Microsoft Corporation is an American multinational technology company which produces computer software, consumer electronics, personal computers, and related services. Its best known software products are the Microsoft Windows line of operating systems, the Microsoft Office suite, and the Internet Explorer and Edge web browsers. Its flagship hardware products are the Xbox video game consoles and the Microsoft Surface lineup of touchscreen personal computers. Microsoft ranked No. 21 in the 2020 Fortune 500 rankings of the largest United States corporations by total revenue; it was the world's largest software maker by revenue as of 2016. It is considered one of the Big Five companies in the U.S. information technology industry, along with Google, Apple, Amazon, and Facebook.",789019,NASDAQ,USD,USA,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,"ONE MICROSOFT WAY, REDMOND, WA, UNITED STATES, 98052-6399",https://www.microsoft.com,June,2026-03-31,2890404200000,184457003000,22.73,1.181,55.78,3.56,0.0093,17.12,42.84,0.393,0.463,0.148,0.34,318272995000,217409995000,17.12,0.234,0.183,556.75,13,41,3,0,0,22.73,19.72,9.08,6.84,8.84,14.15,1.13,551.05,349.2,398.86,435.45,7428435000,7417366000,0.079,76.447,2026-09-10,2026-08-20,271.2310043334961,261.5095016479492,256.05640106201173,271.5124686578444,265.78877269050173,70.55866696739531,6.485230181589145,4.49435171075975,1.9908784708293954,261.5095016479492,285.166947600506,237.85205569539244,0.010480456759089485,0.010425917505380565,0.01626385498145693,277.6600036621094,272.2900085449219,273.7799987792969
2023-03-27,269.4027404785156,276.3800048828125,281.4599914550781,275.5199890136719,280.5,26840200,MSFT,Common Stock,Microsoft Corporation,"Microsoft Corporation is an American multinational technology company which produces computer software, consumer electronics, personal computers, and related services. Its best known software products are the Microsoft Windows line of operating systems, the Microsoft Office suite, and the Internet Explorer and Edge web browsers. Its flagship hardware products are the Xbox video game consoles and the Microsoft Surface lineup of touchscreen personal computers. Microsoft ranked No. 21 in the 2020 Fortune 500 rankings of the largest United States corporations by total revenue; it was the world's largest software maker by revenue as of 2016. It is considered one of the Big Five companies in the U.S. information technology industry, along with Google, Apple, Amazon, and Facebook.",789019,NASDAQ,USD,USA,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,"ONE MICROSOFT WAY, REDMOND, WA, UNITED STATES, 98052-6399",https://www.microsoft.com,June,2026-03-31,2890404200000,184457003000,22.73,1.181,55.78,3.56,0.0093,17.12,42.84,0.393,0.463,0.148,0.34,318272995000,217409995000,17.12,0.234,0.183,556.75,13,41,3,0,0,22.73,19.72,9.08,6.84,8.84,14.15,1.13,551.05,349.2,398.86,435.45,7428435000,7417366000,0.079,76.447,2026-09-10,2026-08-20,273.4770050048828,262.82050170898435,256.81380126953127,272.3974752442022,266.7974614707218,68.80394854704515,6.510910855484553,4.897663539704711,1.6132473157798426,262.82050170898435,286.7343884320536,238.90661498591507,-0.014933892903828516,-0.01504652625885892,0.0169271078307036,280.57000732421875,277.6600036621094,272.2900085449219
2023-03-28,268.2817687988281,275.2300109863281,276.1400146484375,272.04998779296875,275.7900085449219,21878600,MSFT,Common Stock,Microsoft Corporation,"Microsoft Corporation is an American multinational technology company which produces computer software, consumer electronics, personal computers, and related services. Its best known software products are the Microsoft Windows line of operating systems, the Microsoft Office suite, and the Internet Explorer and Edge web browsers. Its flagship hardware products are the Xbox video game consoles and the Microsoft Surface lineup of touchscreen personal computers. Microsoft ranked No. 21 in the 2020 Fortune 500 rankings of the largest United States corporations by total revenue; it was the world's largest software maker by revenue as of 2016. It is considered one of the Big Five companies in the U.S. information technology industry, along with Google, Apple, Amazon, and Facebook.",789019,NASDAQ,USD,USA,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,"ONE MICROSOFT WAY, REDMOND, WA, UNITED STATES, 98052-6399",https://www.microsoft.com,June,2026-03-31,2890404200000,184457003000,22.73,1.181,55.78,3.56,0.0093,17.12,42.84,0.393,0.463,0.148,0.34,318272995000,217409995000,17.12,0.234,0.183,556.75,13,41,3,0,0,22.73,19.72,9.08,6.84,8.84,14.15,1.13,551.05,349.2,398.86,435.45,7428435000,7417366000,0.079,76.447,2026-09-10,2026-08-20,274.92100524902344,264.1110023498535,257.533801574707,272.9124817427705,267.6005614245891,67.99868867682646,6.365095222429602,5.191149876249689,1.173945346179913,264.1110023498535,287.7642695494079,240.45773515029907,-0.0041609156819140125,-0.004169596379705795,0.016959467402093285,276.3800048828125,280.57000732421875,277.6600036621094
