,Date,Adj Close,Close,High,Low,Open,Volume,CIK,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,SMA20,SMA50,SMA10,EMA10,EMA20,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Middle,Daily_Return,Log_Return,Volatility,Lag1,Lag2,Lag3
count,845,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0
mean,2024-11-18 12:43:27.337278,218.79287735978528,220.17273362740963,222.22736142852602,217.9059761905106,219.92608283229129,55022730.53254438,320193.0,4948317176000.0,159975997000.0,40.790000000000006,2.6800000000000006,7.260000000000001,1.0399999999999996,0.0030999999999999995,8.260000000000002,30.52999999999999,0.27200000000000013,0.323,0.262,1.4149999999999996,451442016000.0,216070996000.0,8.260000000000002,0.21799999999999997,0.16599999999999998,318.80999999999995,6.0,22.0,16.0,1.0,2.0,40.790000000000006,34.84000000000002,10.960000000000004,45.92999999999999,10.870000000000001,30.680000000000003,1.0969999999999995,342.89,200.7,306.9899999999999,276.3800000000001,14687356000.0,14662387000.0,1.6299999999999994,66.49900000000001,218.18348512186805,215.42178310164053,219.20969221848708,219.22166653994228,218.24163561891353,54.58733503671593,1.3499149265598807,1.3203736331367661,0.02954129342311412,229.91446441947883,206.4525058242573,218.18348512186805,0.0010798873080475981,0.0009484334706065203,0.014852468253476858,219.95085198216185,219.73021292601817,219.51184607511442
min,2023-03-15 00:00:00,150.6664581298828,152.99000549316406,153.25,149.9199981689453,151.19000244140625,17910600.0,320193.0,4948317176000.0,159975997000.0,40.79,2.68,7.26,1.04,0.0031,8.26,30.53,0.272,0.323,0.262,1.415,451442016000.0,216070996000.0,8.26,0.218,0.166,318.81,6.0,22.0,16.0,1.0,2.0,40.79,34.84,10.96,45.93,10.87,30.68,1.097,342.89,200.7,306.99,276.38,14687356000.0,14662387000.0,1.63,66.499,150.30550079345704,144.79339965820313,151.03800048828126,151.04770017370328,150.05969456116446,17.890142550709058,-10.640884522898176,-8.347421321962024,-4.339010934511936,155.89556579609405,143.63403889955836,150.30550079345704,-0.0924561034645268,-0.0970133431749755,0.0059602576443631,152.58999633789062,150.47000122070312,148.5
25%,2024-01-17 00:00:00,184.0990753173828,186.19000244140625,187.5599975585937,184.2100067138672,186.0599975585937,42137700.0,320193.0,4948317176000.0,159975997000.0,40.79,2.68,7.26,1.04,0.0031,8.26,30.53,0.272,0.323,0.262,1.415,451442016000.0,216070996000.0,8.26,0.218,0.166,318.81,6.0,22.0,16.0,1.0,2.0,40.79,34.84,10.96,45.93,10.87,30.68,1.097,342.89,200.7,306.99,276.38,14687356000.0,14662387000.0,1.63,66.499,185.65600051879883,183.39120056152345,186.15699920654296,185.9689383540839,185.20006961547935,44.99833487329742,-1.3262093503346648,-1.185504930960375,-0.5748684083846776,195.02634821424684,175.11845273320756,185.65600051879883,-0.0067318051143359,-0.0067545659194304,0.0108916702730895,186.009994506836,185.9199981689453,185.8500061035156
50%,2024-11-15 00:00:00,214.8092193603516,216.6699981689453,218.759994506836,213.52999877929688,215.7700042724609,49514700.0,320193.0,4948317176000.0,159975997000.0,40.79,2.68,7.26,1.04,0.0031,8.26,30.53,0.272,0.323,0.262,1.415,451442016000.0,216070996000.0,8.26,0.218,0.166,318.81,6.0,22.0,16.0,1.0,2.0,40.79,34.84,10.96,45.93,10.87,30.68,1.097,342.89,200.7,306.99,276.38,14687356000.0,14662387000.0,1.63,66.499,216.56550064086915,212.59940002441405,215.60200042724608,216.65060922614995,217.13569834254275,55.63121498726552,1.6178780856542971,1.3035843781699716,0.055704002316232,231.0966089042257,202.03448725335784,216.56550064086915,0.0011866605511687,0.0011859570260456,0.0140100992632488,216.32000732421875,216.2400054931641,215.2400054931641
75%,2025-09-23 00:00:00,248.57098388671875,248.9600067138672,253.27999877929688,247.1000061035156,249.3800048828125,60378500.0,320193.0,4948317176000.0,159975997000.0,40.79,2.68,7.26,1.04,0.0031,8.26,30.53,0.272,0.323,0.262,1.415,451442016000.0,216070996000.0,8.26,0.218,0.166,318.81,6.0,22.0,16.0,1.0,2.0,40.79,34.84,10.96,45.93,10.87,30.68,1.097,342.89,200.7,306.99,276.38,14687356000.0,14662387000.0,1.63,66.499,247.86650009155272,240.28359924316408,251.04400177001952,250.59437139362836,247.25663043680197,64.83582283465833,3.677152060763632,3.548393034159396,0.7282562049745245,261.27274887087646,233.52824383780276,247.86650009155272,0.0086266557560741,0.0085896587824836,0.0165764055941864,248.8000030517578,248.3500061035156,248.1300048828125
max,2026-07-28 00:00:00,340.0799865722656,340.0799865722656,342.8900146484375,335.6000061035156,340.0299987792969,318679900.0,320193.0,4948317176000.0,159975997000.0,40.79,2.68,7.26,1.04,0.0031,8.26,30.53,0.272,0.323,0.262,1.415,451442016000.0,216070996000.0,8.26,0.218,0.166,318.81,6.0,22.0,16.0,1.0,2.0,40.79,34.84,10.96,45.93,10.87,30.68,1.097,342.89,200.7,306.99,276.38,14687356000.0,14662387000.0,1.63,66.499,319.95899963378906,307.82960021972656,330.6389984130859,329.20534097156934,321.5173267977114,80.79316653807618,10.4243684976272,9.806533876092164,3.3371581251787106,346.3168045671165,293.88445204285574,319.95899963378906,0.1532885292613963,0.142617452185724,0.0515351829321999,336.9100036621094,333.739990234375,333.739990234375
std,,40.85126487664167,40.1926192624446,40.677422438583605,39.62880086348571,40.10302772684834,24550892.59119896,0.0,0.0,0.0,7.109635487882598e-15,4.443522179926624e-16,8.887044359853248e-16,4.443522179926624e-16,4.339377128834594e-19,1.7774088719706495e-15,1.0664453231823895e-14,1.110880544981656e-16,0.0,0.0,4.443522179926624e-16,0.0,0.0,1.7774088719706495e-15,2.77720136245414e-17,2.77720136245414e-17,5.687708390306078e-14,0.0,0.0,0.0,0.0,0.0,7.109635487882598e-15,1.4219270975765196e-14,3.554817743941299e-15,7.109635487882598e-15,1.7774088719706495e-15,3.554817743941299e-15,4.443522179926624e-16,0.0,0.0,1.1375416780612157e-13,1.1375416780612157e-13,0.0,0.0,4.443522179926624e-16,1.4219270975765196e-14,38.65822392567054,37.32298536059458,39.3743132183094,39.296212656430384,38.59052211472969,12.806033184763784,3.627212181714528,3.349402064781986,1.1726581546814285,41.76457072586826,36.226380215544346,38.65822392567054,0.016250186928118176,0.01616988131773389,0.006725972876639898,40.047144068133264,39.91537334698644,39.79942201193992
