ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-03-15,106.6273077,93.86534795531523,107.15433253391029,106.6273077,106.6273077,-5.96371826975975,-5.96371826975975,-5.96371826975975,2.191009169052686,2.191009169052686,2.191009169052686,-8.154727438812435,-8.154727438812435,-8.154727438812435,0.0,0.0,0.0,100.66358943024025
2023-03-16,106.76116097989807,93.88111988265669,106.67724359485973,106.76116097989807,106.76116097989807,-6.280442760798357,-6.280442760798357,-6.280442760798357,2.0283055700002057,2.0283055700002057,2.0283055700002057,-8.308748330798563,-8.308748330798563,-8.308748330798563,0.0,0.0,0.0,100.48071821909971
2023-03-17,106.89501425979613,93.64759364360181,107.55774481232338,106.89501425979613,106.89501425979613,-5.998877831030849,-5.998877831030849,-5.998877831030849,2.418095127964852,2.418095127964852,2.418095127964852,-8.416972958995702,-8.416972958995702,-8.416972958995702,0.0,0.0,0.0,100.89613642876527
2023-03-20,107.29657409949031,94.41185977083295,108.14316676818139,107.29657409949031,107.29657409949031,-6.179013792965749,-6.179013792965749,-6.179013792965749,2.3295885126565032,2.3295885126565032,2.3295885126565032,-8.508602305622253,-8.508602305622253,-8.508602305622253,0.0,0.0,0.0,101.11756030652457
2023-03-21,107.43042737938838,94.31441839986387,108.08951595045707,107.43042737938838,107.43042737938838,-6.2648286580672226,-6.2648286580672226,-6.2648286580672226,2.214644167059477,2.214644167059477,2.214644167059477,-8.479472825126699,-8.479472825126699,-8.479472825126699,0.0,0.0,0.0,101.16559872132116
2023-03-22,107.56428065928644,94.63603895983604,108.19754610280518,107.56428065928644,107.56428065928644,-6.240182512993201,-6.240182512993201,-6.240182512993201,2.191009169053182,2.191009169053182,2.191009169053182,-8.431191682046384,-8.431191682046384,-8.431191682046384,0.0,0.0,0.0,101.32409814629324
2023-03-23,107.6981339391845,94.56218533155065,107.7901547151295,107.6981339391845,107.6981339391845,-6.342589635151483,-6.342589635151483,-6.342589635151483,2.028305569999412,2.028305569999412,2.028305569999412,-8.370895205150894,-8.370895205150894,-8.370895205150894,0.0,0.0,0.0,101.35554430403302
2023-03-24,107.83198721908256,95.42366143901556,108.43071703933306,107.83198721908256,107.83198721908256,-5.887886111520182,-5.887886111520182,-5.887886111520182,2.4180951279653833,2.4180951279653833,2.4180951279653833,-8.305981239485567,-8.305981239485567,-8.305981239485567,0.0,0.0,0.0,101.94410110756237
2023-03-27,108.23354705877675,95.66997975544959,109.49251040500971,108.23354705877675,108.23354705877675,-5.828091618513425,-5.828091618513425,-5.828091618513425,2.3295885126323395,2.3295885126323395,2.3295885126323395,-8.157680131145765,-8.157680131145765,-8.157680131145765,0.0,0.0,0.0,102.40545544026332
2023-03-28,108.36740033867483,95.95250625284739,109.23965581792211,108.36740033867483,108.36740033867483,-5.932555207399779,-5.932555207399779,-5.932555207399779,2.2146441670570045,2.2146441670570045,2.2146441670570045,-8.147199374456783,-8.147199374456783,-8.147199374456783,0.0,0.0,0.0,102.43484513127505
2023-03-29,108.50125361857287,95.9261543304694,108.93115312606304,108.50125361857287,108.50125361857287,-5.975658125548725,-5.975658125548725,-5.975658125548725,2.1910091690528466,2.1910091690528466,2.1910091690528466,-8.166667294601572,-8.166667294601572,-8.166667294601572,0.0,0.0,0.0,102.52559549302416
2023-03-30,108.63510689847095,95.59191077798091,109.21182238806655,108.63510689847095,108.63510689847095,-6.192939272292895,-6.192939272292895,-6.192939272292895,2.0283055699958648,2.0283055699958648,2.0283055699958648,-8.221244842288758,-8.221244842288758,-8.221244842288758,0.0,0.0,0.0,102.44216762617806
2023-03-31,108.768960178369,96.34057945542642,109.60967773432886,108.768960178369,108.768960178369,-5.897033267237642,-5.897033267237642,-5.897033267237642,2.418095127953897,2.418095127953897,2.418095127953897,-8.31512839519154,-8.31512839519154,-8.31512839519154,0.0,0.0,0.0,102.87192691113135
2023-04-03,109.1705200180632,95.65575149149602,109.19274903773498,109.1705200180632,109.1705200180632,-6.52801229275756,-6.52801229275756,-6.52801229275756,2.3295885126380607,2.3295885126380607,2.3295885126380607,-8.85760080539562,-8.85760080539562,-8.85760080539562,0.0,0.0,0.0,102.64250772530563
2023-04-04,109.30437329796126,95.50392001695444,108.75140471158637,109.30437329796126,109.30437329796126,-6.912803997479104,-6.912803997479104,-6.912803997479104,2.214644167058255,2.214644167058255,2.214644167058255,-9.127448164537359,-9.127448164537359,-9.127448164537359,0.0,0.0,0.0,102.39156930048216
2023-04-05,109.43822657785933,95.86614082413189,108.79997076883141,109.43822657785933,109.43822657785933,-7.2485640293079285,-7.2485640293079285,-7.2485640293079285,2.191009169052823,2.191009169052823,2.191009169052823,-9.439573198360751,-9.439573198360751,-9.439573198360751,0.0,0.0,0.0,102.1896625485514
2023-04-06,109.57207985775739,94.82322871453728,109.10025809982503,109.57207985775739,109.57207985775739,-7.762364134019909,-7.762364134019909,-7.762364134019909,2.0283055699950716,2.0283055699950716,2.0283055699950716,-9.790669704014979,-9.790669704014979,-9.790669704014979,0.0,0.0,0.0,101.80971572373748
2023-04-10,110.10749297734964,94.238651006487,107.20379747812372,110.10749297734964,110.10749297734964,-9.147383959746916,-9.147383959746916,-9.147383959746916,2.3295885126373843,2.3295885126373843,2.3295885126373843,-11.4769724723843,-11.4769724723843,-11.4769724723843,0.0,0.0,0.0,100.96010901760272
2023-04-11,110.2413462572477,93.40116559347496,107.79154489556295,110.2413462572477,110.2413462572477,-9.718647138769064,-9.718647138769064,-9.718647138769064,2.2146441670520587,2.2146441670520587,2.2146441670520587,-11.933291305821124,-11.933291305821124,-11.933291305821124,0.0,0.0,0.0,100.52269911847864
2023-04-12,110.37519953714578,93.33973859068603,106.69481087664946,110.37519953714578,110.37519953714578,-10.19556490378397,-10.19556490378397,-10.19556490378397,2.1910091690528,2.1910091690528,2.1910091690528,-12.386574072836769,-12.386574072836769,-12.386574072836769,0.0,0.0,0.0,100.1796346333618
