,Date,Adj Close,Close,High,Low,Open,Volume,CIK,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,SMA20,SMA50,SMA10,EMA10,EMA20,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Middle,Daily_Return,Log_Return,Volatility,Lag1,Lag2,Lag3
count,845,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0
mean,2024-11-18 12:43:27.337278,120.0789574910903,120.2397515020427,122.18379526984762,118.13495991046612,120.27646722059984,316636643.43195266,1045810.0,4759668392000.0,165514002000.0,30.050000000000008,0.5700000000000001,8.069999999999997,0.039999999999999994,0.00020000000000000004,6.540000000000001,10.420000000000002,0.6299999999999999,0.6559999999999999,0.527,1.1430000000000002,253491003000.0,187952005000.0,6.540000000000001,2.145,0.8520000000000002,302.83,10.0,48.0,2.0,1.0,0.0,30.050000000000008,23.57999999999999,18.78,25.63,19.49,25.610000000000014,2.2109999999999994,236.26000000000008,163.85,208.59999999999994,192.96,24221000000.0,23225466000.0,3.982999999999999,71.529,118.19878757081793,114.94301916702541,119.28111827195747,119.27989765668148,118.20000734819892,56.703792354979804,1.5187847293643475,1.5241183247330552,-0.005333595368707476,128.38618114153198,108.01139400010388,118.19878757081793,0.0029367823051111327,0.0024882592678692923,0.028247373305624348,120.03508050230128,119.82970299353967,119.61209944775824
min,2023-03-15 00:00:00,24.17839241027832,24.22800064086914,24.285999298095703,23.36000061035156,23.76099967956543,65528500.0,1045810.0,4759668392000.0,165514002000.0,30.05,0.57,8.07,0.04,0.0002,6.54,10.42,0.63,0.656,0.527,1.143,253491003000.0,187952005000.0,6.54,2.145,0.852,302.83,10.0,48.0,2.0,1.0,0.0,30.05,23.58,18.78,25.63,19.49,25.61,2.211,236.26,163.85,208.6,192.96,24221000000.0,23225466000.0,3.983,71.529,22.99064998626709,20.45718006134033,23.588500022888184,23.50772239548108,22.92668903925133,28.45322964617047,-6.260128852433809,-4.744604572391434,-2.68733654284291,25.020887919935312,20.807702935767946,22.99064998626709,-0.1696816559862984,-0.1859461047223838,0.0139494949320189,24.0629997253418,22.965999603271484,22.96500015258789
25%,2024-01-17 00:00:00,56.281959533691406,56.38199996948242,56.834999084472656,54.900001525878906,56.34700012207031,179304100.0,1045810.0,4759668392000.0,165514002000.0,30.05,0.57,8.07,0.04,0.0002,6.54,10.42,0.63,0.656,0.527,1.143,253491003000.0,187952005000.0,6.54,2.145,0.852,302.83,10.0,48.0,2.0,1.0,0.0,30.05,23.58,18.78,25.63,19.49,25.61,2.211,236.26,163.85,208.6,192.96,24221000000.0,23225466000.0,3.983,71.529,50.89469985961914,48.96563995361328,52.63739967346192,53.45375817202461,51.62837046099422,48.19937559909912,-0.4437634927642477,-0.2863867685796366,-0.5694921958210524,56.58994335549798,45.56525871859195,50.89469985961914,-0.0136218835061527,-0.0137155126033139,0.0205278343726974,56.053001403808594,54.821998596191406,54.709999084472656
50%,2024-11-15 00:00:00,124.37500762939452,124.58000183105467,126.88999938964844,121.36000061035156,124.0479965209961,270608700.0,1045810.0,4759668392000.0,165514002000.0,30.05,0.57,8.07,0.04,0.0002,6.54,10.42,0.63,0.656,0.527,1.143,253491003000.0,187952005000.0,6.54,2.145,0.852,302.83,10.0,48.0,2.0,1.0,0.0,30.05,23.58,18.78,25.63,19.49,25.61,2.211,236.26,163.85,208.6,192.96,24221000000.0,23225466000.0,3.983,71.529,122.68100013732912,119.9631997680664,124.74099960327148,124.01244729955653,121.27854804272292,56.03337418568156,1.0097789200475873,0.9106455479345285,0.0127301027715485,136.97251266485355,107.14528006569398,122.68100013732912,0.0028003914479066,0.0027964776568379,0.0243553725340282,124.3000030517578,124.04000091552734,123.98999786376952
75%,2025-09-23 00:00:00,177.52357482910156,177.75,179.77999877929688,174.92999267578125,177.10000610351562,411440400.0,1045810.0,4759668392000.0,165514002000.0,30.05,0.57,8.07,0.04,0.0002,6.54,10.42,0.63,0.656,0.527,1.143,253491003000.0,187952005000.0,6.54,2.145,0.852,302.83,10.0,48.0,2.0,1.0,0.0,30.05,23.58,18.78,25.63,19.49,25.61,2.211,236.26,163.85,208.6,192.96,24221000000.0,23225466000.0,3.983,71.529,177.78049926757814,176.20699951171875,178.35499877929686,178.17743569636897,177.0685562982287,65.29314568434765,3.556467191719648,3.6536340942282814,0.5854580310353104,186.46071248688003,166.7688895182342,177.78049926757814,0.0188348969458775,0.0186597165262163,0.032663837212355,177.72000122070312,177.69000244140625,177.63999938964844
max,2026-07-28 00:00:00,235.465576171875,235.7400054931641,236.5399932861328,229.3000030517578,229.8699951171875,1543911000.0,1045810.0,4759668392000.0,165514002000.0,30.05,0.57,8.07,0.04,0.0002,6.54,10.42,0.63,0.656,0.527,1.143,253491003000.0,187952005000.0,6.54,2.145,0.852,302.83,10.0,48.0,2.0,1.0,0.0,30.05,23.58,18.78,25.63,19.49,25.61,2.211,236.26,163.85,208.6,192.96,24221000000.0,23225466000.0,3.983,71.529,219.42450180053712,210.228200378418,222.8350021362305,220.42128558915613,216.00742302357585,85.25909970690002,9.774133216906108,8.856060494245845,3.014218224304807,235.30206006784653,207.68965271059488,219.42450180053712,0.2436963589428,0.2180878800724045,0.0601618634319675,235.7400054931641,235.7400054931641,235.7400054931641
std,,58.13779604710527,58.18272595806535,59.005047232858516,57.3758787520147,58.27410415505718,174997106.8395352,0.0,0.0,0.0,7.109635487882598e-15,1.110880544981656e-16,3.554817743941299e-15,6.94300340613535e-18,2.712110705521621e-20,8.887044359853248e-16,1.7774088719706495e-15,1.110880544981656e-16,1.110880544981656e-16,0.0,2.221761089963312e-16,0.0,0.0,8.887044359853248e-16,0.0,2.221761089963312e-16,0.0,0.0,0.0,0.0,0.0,0.0,7.109635487882598e-15,7.109635487882598e-15,0.0,0.0,0.0,1.4219270975765196e-14,4.443522179926624e-16,8.531562585459116e-14,0.0,5.687708390306078e-14,0.0,0.0,0.0,8.887044359853248e-16,0.0,58.072754938618736,57.879661304601264,58.12371488899593,58.06251571162799,57.95843738712326,11.568484536822977,3.134700736164795,2.9187089266387325,1.0183466191600417,61.448006262169756,55.04832080534498,58.072754938618736,0.030068707885319273,0.02976543807684654,0.011120776406963892,58.216529574627145,58.25252505992419,58.270542846303435
