,Date,Adj Close,Close,High,Low,Open,Volume,CIK,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,SMA20,SMA50,SMA10,EMA10,EMA20,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Middle,Daily_Return,Log_Return,Volatility,Lag1,Lag2,Lag3
count,844,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0
mean,2024-11-17 19:11:39.526066,218.6491725975868,220.03066342249866,222.08439619959248,217.76652828777006,219.78377961434458,55026612.440758295,320193.0,4948317176000.0,159975997000.0,40.79000000000001,2.68,7.260000000000001,1.0399999999999998,0.003099999999999999,8.260000000000002,30.52999999999999,0.27200000000000013,0.32299999999999995,0.262,1.4149999999999998,451442016000.0,216070996000.0,8.260000000000002,0.21800000000000003,0.16599999999999998,318.81,6.0,22.0,16.0,1.0,2.0,40.79000000000001,34.84000000000002,10.960000000000003,45.93,10.870000000000003,30.680000000000003,1.0969999999999998,339.5700000000001,200.7,306.98999999999995,276.3800000000001,14687356000.0,14662387000.0,1.6299999999999992,66.49900000000002,218.06289801936578,215.31229516666647,219.0776669741807,219.09135412947828,218.1192710559055,54.57038094390519,1.3403128561495967,1.3122890630901327,0.028023793059463963,229.77688256781386,206.34891347091772,218.06289801936578,0.0010700187027696294,0.0009384612338104849,0.014848878438174316,219.81227478822825,219.59598333349726,219.39081745238101
min,2023-03-15 00:00:00,150.66644287109375,152.99000549316406,153.25,149.9199981689453,151.19000244140625,17910600.0,320193.0,4948317176000.0,159975997000.0,40.79,2.68,7.26,1.04,0.0031,8.26,30.53,0.272,0.323,0.262,1.415,451442016000.0,216070996000.0,8.26,0.218,0.166,318.81,6.0,22.0,16.0,1.0,2.0,40.79,34.84,10.96,45.93,10.87,30.68,1.097,339.57,200.7,306.99,276.38,14687356000.0,14662387000.0,1.63,66.499,150.30550079345704,144.79339965820313,151.03800048828126,151.04770017370328,150.05969456116446,17.890142550709058,-10.640884522898176,-8.347421321962024,-4.339010934511936,155.89556579609405,143.63403889955836,150.30550079345704,-0.0924561034645268,-0.0970133431749755,0.0059602576443631,152.58999633789062,150.47000122070312,148.5
25%,2024-01-16 18:00:00,184.03405761718744,186.14500045776367,187.51499938964838,184.13750457763672,186.01749801635737,42130850.0,320193.0,4948317176000.0,159975997000.0,40.79,2.68,7.26,1.04,0.0031,8.26,30.53,0.272,0.323,0.262,1.415,451442016000.0,216070996000.0,8.26,0.218,0.166,318.81,6.0,22.0,16.0,1.0,2.0,40.79,34.84,10.96,45.93,10.87,30.68,1.097,339.57,200.7,306.99,276.38,14687356000.0,14662387000.0,1.63,66.499,185.56425037384034,183.3831003570557,186.12049903869627,185.96757976198177,185.18270608800685,44.99377639112322,-1.3286593565347289,-1.1881383983416662,-0.5752671312977206,195.02613048720127,175.1065707158435,185.56425037384034,-0.00673722082077225,-0.006760018389893475,0.010887589668635025,185.98749542236334,185.9025001525879,185.7975044250488
50%,2024-11-14 12:00:00,214.75985717773438,216.49500274658203,218.69499969482425,213.46499633789062,215.76000213623047,49508200.0,320193.0,4948317176000.0,159975997000.0,40.79,2.68,7.26,1.04,0.0031,8.26,30.53,0.272,0.323,0.262,1.415,451442016000.0,216070996000.0,8.26,0.218,0.166,318.81,6.0,22.0,16.0,1.0,2.0,40.79,34.84,10.96,45.93,10.87,30.68,1.097,339.57,200.7,306.99,276.38,14687356000.0,14662387000.0,1.63,66.499,216.3990005493164,212.4197998046875,215.54950103759762,216.63768499585336,217.07429506223286,55.62748259495487,1.603581703895756,1.2973493336037545,0.05440268275743515,230.99396844773224,201.9573817911284,216.3990005493164,0.00117953125575715,0.0011788361299534,0.0140045691056372,216.2800064086914,215.7400054931641,214.81999969482425
75%,2025-09-22 06:00:00,248.29590225219727,248.84000396728516,252.31999969482422,247.09249877929688,249.24499893188477,60384600.0,320193.0,4948317176000.0,159975997000.0,40.79,2.68,7.26,1.04,0.0031,8.26,30.53,0.272,0.323,0.262,1.415,451442016000.0,216070996000.0,8.26,0.218,0.166,318.81,6.0,22.0,16.0,1.0,2.0,40.79,34.84,10.96,45.93,10.87,30.68,1.097,339.57,200.7,306.99,276.38,14687356000.0,14662387000.0,1.63,66.499,247.8199993133545,240.2418992614746,250.7544994354248,250.42388480433334,246.93115661619055,64.7812695739353,3.6698954665536054,3.546217195543446,0.7254690742467667,261.1877672631616,233.26421414611414,247.8199993133545,0.008606223820450998,0.00856940132503845,0.0165752284778303,248.46250534057614,248.18500518798828,248.07000350952148
max,2026-07-27 00:00:00,336.9100036621094,336.9100036621094,339.57000732421875,334.0199890136719,334.5400085449219,318679900.0,320193.0,4948317176000.0,159975997000.0,40.79,2.68,7.26,1.04,0.0031,8.26,30.53,0.272,0.323,0.262,1.415,451442016000.0,216070996000.0,8.26,0.218,0.166,318.81,6.0,22.0,16.0,1.0,2.0,40.79,34.84,10.96,45.93,10.87,30.68,1.097,339.57,200.7,306.99,276.38,14687356000.0,14662387000.0,1.63,66.499,317.04199981689453,306.9922003173828,328.11699829101565,326.7887530603036,319.5633626109162,80.79316653807618,10.4243684976272,9.806533876092164,3.3371581251787106,346.3168045671165,291.92851522495545,317.04199981689453,0.1532885292613963,0.142617452185724,0.0515351829321999,333.739990234375,333.739990234375,333.739990234375
std,,40.661216558694605,40.00359091656893,40.48856653905347,39.44431080681968,39.91276592655795,24565195.377818406,0.0,0.0,0.0,1.4219280956508797e-14,0.0,8.887050597817998e-16,2.2217626494544995e-16,8.678760349431639e-19,1.7774101195635996e-15,1.0664460717381596e-14,1.1108813247272497e-16,5.554406623636249e-17,0.0,2.2217626494544995e-16,0.0,0.0,1.7774101195635996e-15,2.7772033118181244e-17,2.7772033118181244e-17,0.0,0.0,0.0,0.0,0.0,0.0,1.4219280956508797e-14,1.4219280956508797e-14,1.7774101195635996e-15,0.0,3.554820239127199e-15,3.554820239127199e-15,2.2217626494544995e-16,1.1375424765207037e-13,0.0,5.687712382603519e-14,1.1375424765207037e-13,0.0,0.0,6.665287948363497e-16,2.8438561913017593e-14,38.52180072775082,37.20908665234772,39.210065391255405,39.13640083858493,38.449027455834965,12.804133968977846,3.6186011053756775,3.343128335551824,1.1725230051312516,41.59729222371839,36.122411555009926,38.52180072775082,0.01625728858595433,0.016176869008268525,0.006729150975236344,39.8676546098918,39.747755558319604,39.66712502163976
