ds,yhat,yhat_lower,yhat_upper
2026-06-04,313.1769160657367,234.98661473078954,399.47452900991584
2026-06-05,313.70151529088446,235.1609422169996,394.84987264259996
2026-06-08,314.6330344699142,236.57316004498665,397.3181094569033
2026-06-09,314.97182233672623,237.73757351784263,397.50503187942405
2026-06-10,315.1418467461015,234.74355141126517,402.351899269067
2026-06-11,315.4850728714357,235.08553553088143,404.10027875431797
2026-06-12,316.0382172584505,238.1977985323381,407.8822983426099
2026-06-15,316.9524031470967,236.17782283364255,402.32248076916596
2026-06-16,317.2686358338013,234.81641800981023,403.06045014888804
2026-06-17,317.4172565827186,234.16957159814856,411.5263660297014
2026-06-18,317.7459310810018,233.09519407311944,406.1762327439621
2026-06-19,318.2967357735527,231.96238212736213,410.8107880396264
2026-06-22,319.32117195637557,235.2959242003795,410.05138030212237
2026-06-23,319.72341952828026,234.97711162628363,414.2477248728252
2026-06-24,319.9850249647026,233.00203843825687,413.8210386077528
2026-06-25,320.4532061146976,232.0271194154495,418.442481368177
2026-06-26,321.16830166120087,229.93809142548974,422.564475348983
2026-06-29,322.7982819224121,231.78330777151916,419.1617270180262
2026-06-30,323.4223407298312,231.85655853976613,425.0031628114294
2026-07-01,323.9046566165822,231.11111665295405,424.3673103338105
2026-07-02,324.58482858350976,232.40837227373459,426.08020992742775
2026-07-03,325.49525044522323,230.3144464373614,428.16275189371436
2026-07-06,327.5322929444393,231.0021600175019,432.20259277663683
2026-07-07,328.20811383250975,230.1868377746213,431.92819679198584
2026-07-08,328.68999731459525,233.04271354750333,431.45173231790113
2026-07-09,329.3130453261633,229.0334558299891,436.1191748279967
2026-07-10,330.106531285292,228.8894027465197,436.48856936067347
2026-07-13,331.42630391701607,231.06808502268902,441.0477446727757
2026-07-14,331.7467969460722,232.61080966406112,439.83124860753
2026-07-15,331.8224765451308,228.43090696294533,440.20464405865505
