ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-02,65.0957816823999,63.88304660751179,81.32384380505967,65.0957816823999,65.0957816823999,7.352560102283136,7.352560102283136,7.352560102283136,-1.414493771270613,-1.414493771270613,-1.414493771270613,8.767053873553749,8.767053873553749,8.767053873553749,0.0,0.0,0.0,72.44834178468304
2020-01-03,65.25566096691608,63.9169355969452,80.70036962043076,65.25566096691608,65.25566096691608,7.165566105579254,7.165566105579254,7.165566105579254,-1.2960651895477633,-1.2960651895477633,-1.2960651895477633,8.461631295127017,8.461631295127017,8.461631295127017,0.0,0.0,0.0,72.42122707249534
2020-01-06,65.73529882046459,64.12301966655971,80.22266386621669,65.73529882046459,65.73529882046459,6.4250346869238175,6.4250346869238175,6.4250346869238175,-1.1671696041555104,-1.1671696041555104,-1.1671696041555104,7.5922042910793275,7.5922042910793275,7.5922042910793275,0.0,0.0,0.0,72.16033350738842
2020-01-07,65.89517810498077,63.3834818250248,80.91251524089604,65.89517810498077,65.89517810498077,6.10914546683883,6.10914546683883,6.10914546683883,-1.22046119696829,-1.22046119696829,-1.22046119696829,7.3296066638071204,7.3296066638071204,7.3296066638071204,0.0,0.0,0.0,72.0043235718196
2020-01-08,66.05505738949694,63.725137526806634,80.25372979625249,66.05505738949694,66.05505738949694,5.768362246662208,5.768362246662208,5.768362246662208,-1.3175953777279465,-1.3175953777279465,-1.3175953777279465,7.085957624390154,7.085957624390154,7.085957624390154,0.0,0.0,0.0,71.82341963615914
2020-01-09,66.21493667401312,64.02530902694899,80.10952752911112,66.21493667401312,66.21493667401312,5.449588768212546,5.449588768212546,5.449588768212546,-1.4144937712718295,-1.4144937712718295,-1.4144937712718295,6.864082539484376,6.864082539484376,6.864082539484376,0.0,0.0,0.0,71.66452544222567
2020-01-10,66.3748159585293,63.6814904648453,79.69906457163013,66.3748159585293,66.3748159585293,5.370421122213072,5.370421122213072,5.370421122213072,-1.2960651895612434,-1.2960651895612434,-1.2960651895612434,6.666486311774316,6.666486311774316,6.666486311774316,0.0,0.0,0.0,71.74523708074237
2020-01-13,66.85445381207781,63.41491062276703,79.93260983734338,66.85445381207781,66.85445381207781,5.071562820513582,5.071562820513582,5.071562820513582,-1.1671696041554493,-1.1671696041554493,-1.1671696041554493,6.238732424669031,6.238732424669031,6.238732424669031,0.0,0.0,0.0,71.92601663259138
2020-01-14,67.01433309659399,63.53071997020914,80.14837704106127,67.01433309659399,67.01433309659399,4.935005926853021,4.935005926853021,4.935005926853021,-1.2204611969688528,-1.2204611969688528,-1.2204611969688528,6.155467123821873,6.155467123821873,6.155467123821873,0.0,0.0,0.0,71.94933902344701
2020-01-15,67.17421238111015,63.486863044868855,80.33645067837337,67.17421238111015,67.17421238111015,4.7852470143420485,4.7852470143420485,4.7852470143420485,-1.317595377727492,-1.317595377727492,-1.317595377727492,6.10284239206954,6.10284239206954,6.10284239206954,0.0,0.0,0.0,71.9594593954522
2020-01-16,67.33409166562633,63.79858798492661,80.3574573335471,67.33409166562633,67.33409166562633,4.666206416195597,4.666206416195597,4.666206416195597,-1.414493771273046,-1.414493771273046,-1.414493771273046,6.080700187468643,6.080700187468643,6.080700187468643,0.0,0.0,0.0,72.00029808182192
2020-01-17,67.49397095014251,64.21785960505454,80.51328478609125,67.49397095014251,67.49397095014251,4.792303489098729,4.792303489098729,4.792303489098729,-1.2960651895519237,-1.2960651895519237,-1.2960651895519237,6.088368678650653,6.088368678650653,6.088368678650653,0.0,0.0,0.0,72.28627443924124
2020-01-21,68.1334880882072,64.77733888060366,81.71051662192832,68.1334880882072,68.1334880882072,5.165364903456002,5.165364903456002,5.165364903456002,-1.2204611969694161,-1.2204611969694161,-1.2204611969694161,6.385826100425418,6.385826100425418,6.385826100425418,0.0,0.0,0.0,73.29885299166321
2020-01-22,68.29336737272337,64.6996807853633,81.67543094603454,68.29336737272337,68.29336737272337,5.197168366680986,5.197168366680986,5.197168366680986,-1.317595377727568,-1.317595377727568,-1.317595377727568,6.514763744408553,6.514763744408553,6.514763744408553,0.0,0.0,0.0,73.49053573940435
2020-01-23,68.45324665723955,65.5055597420173,82.15464070997432,68.45324665723955,68.45324665723955,5.244605335689851,5.244605335689851,5.244605335689851,-1.4144937712742631,-1.4144937712742631,-1.4144937712742631,6.659099106964114,6.659099106964114,6.659099106964114,0.0,0.0,0.0,73.6978519929294
2020-01-24,68.61312594175573,65.89961311054377,82.72640316620424,68.61312594175573,68.61312594175573,5.518856988304267,5.518856988304267,5.518856988304267,-1.2960651895518376,-1.2960651895518376,-1.2960651895518376,6.814922177856104,6.814922177856104,6.814922177856104,0.0,0.0,0.0,74.13198293005999
2020-01-27,69.09276379530424,66.54549402043955,83.32386826614913,69.09276379530424,69.09276379530424,6.14049802777907,6.14049802777907,6.14049802777907,-1.1671696041615687,-1.1671696041615687,-1.1671696041615687,7.307667631940639,7.307667631940639,7.307667631940639,0.0,0.0,0.0,75.23326182308331
2020-01-28,69.25264307982042,67.37137015472878,83.66734556633332,69.25264307982042,69.25264307982042,6.244213261818585,6.244213261818585,6.244213261818585,-1.220461196966477,-1.220461196966477,-1.220461196966477,7.464674458785062,7.464674458785062,7.464674458785062,0.0,0.0,0.0,75.496856341639
2020-01-29,69.41252236433658,67.23684287462147,84.36621490907974,69.41252236433658,69.41252236433658,6.292293879708439,6.292293879708439,6.292293879708439,-1.3175953777277127,-1.3175953777277127,-1.3175953777277127,7.609889257436152,7.609889257436152,7.609889257436152,0.0,0.0,0.0,75.70481624404502
2020-01-30,69.57240164885276,67.6930344609346,84.61997217471183,69.57240164885276,69.57240164885276,6.323855177877673,6.323855177877673,6.323855177877673,-1.4144937712737906,-1.4144937712737906,-1.4144937712737906,7.738348949151464,7.738348949151464,7.738348949151464,0.0,0.0,0.0,75.89625682673044
2020-01-31,69.73228093336894,68.3560013804324,85.037090599875,69.73228093336894,69.73228093336894,6.549084146824632,6.549084146824632,6.549084146824632,-1.29606518956224,-1.29606518956224,-1.29606518956224,7.845149336386872,7.845149336386872,7.845149336386872,0.0,0.0,0.0,76.28136508019357
2020-02-03,70.21191878691745,69.0149379924938,85.71128130897452,70.21191878691745,70.21191878691745,6.821778718340638,6.821778718340638,6.821778718340638,-1.1671696041516897,-1.1671696041516897,-1.1671696041516897,7.988948322492329,7.988948322492329,7.988948322492329,0.0,0.0,0.0,77.03369750525809
2020-02-04,70.37179807143363,68.50188858730982,85.41666783358923,70.37179807143363,70.37179807143363,6.743297904179579,6.743297904179579,6.743297904179579,-1.2204611969670405,-1.2204611969670405,-1.2204611969670405,7.9637591011466204,7.9637591011466204,7.9637591011466204,0.0,0.0,0.0,77.11509597561322
